player_a_id,player_b_id,player_a,player_b,outcome,n_with,n_without,mean_with,mean_without,delta,cohens_d,t_stat,p_value,significant,bh_significant,bh_rank,bh_threshold
16147,15117,cptkurtka023,keoz,kd_log,41,95,0.14303032569890145,-0.05998605256456534,0.2030163782634668,0.4828368271821118,2.3149672582728567,0.024020419780599364,True,False,2257,0.007784906181015453
15117,17147,keoz,juanflatroo,rating,48,69,0.013114438227569565,-0.011451872371698497,0.02456631059926806,0.15319638513803965,0.8113213314516265,0.4191158975641602,False,False,8531,0.0294253587196468
15117,17147,keoz,juanflatroo,adr,48,69,1.9995944483342736,-1.6038827470082921,3.603477195342566,0.20920578129513107,1.108755098941108,0.27019900651916307,False,False,6778,0.02337886313465784
15117,17147,keoz,juanflatroo,kd_log,48,69,0.015864811477166448,-0.009265333043407225,0.025130144520573675,0.06290427238651222,0.3363887778881996,0.7372617249537924,False,False,11853,0.04088369205298013
17147,15117,juanflatroo,keoz,rating,48,88,-0.012928712383438193,0.00704911235816781,-0.019977824741606004,-0.1295907750879401,-0.7900403649388874,0.43102827339557453,False,False,8657,0.02985996136865342
17147,15117,juanflatroo,keoz,adr,48,88,-2.4010597394792104,1.3400952215551443,-3.7411549610343546,-0.22804583623742375,-1.38847033236031,0.16751620649449542,False,False,5251,0.01811189293598234
17147,15117,juanflatroo,keoz,kd_log,48,88,-0.03509673945194444,0.021025134701302125,-0.05612187415324657,-0.13052641771760343,-0.7920131579099258,0.42989721624974414,False,False,8648,0.029828918322295808
15117,18120,keoz,sinnopsyy,rating,61,121,-0.031266569378717884,0.01443340329584723,-0.04569997267456512,-0.2525253284991709,-1.6137684396411014,0.10917033244684013,False,False,4311,0.014869619205298014
15117,18120,keoz,sinnopsyy,adr,61,121,-2.4478616551618493,1.0969226152853195,-3.5447842704471686,-0.18458338682332154,-1.1683071846586772,0.24502832208163225,False,False,6422,0.022150938189845475
15117,18120,keoz,sinnopsyy,kd_log,61,121,-0.03942492505904737,0.018114987432167395,-0.05753991249121476,-0.12414410239731019,-0.8435126855291672,0.4003474244935293,False,False,8358,0.028828642384105964
18120,15117,sinnopsyy,keoz,rating,61,75,-0.003711614459291906,0.0030153623350738777,-0.006726976794365784,-0.043561781755011894,-0.26195672437547834,0.7937662214091245,False,False,12404,0.04278421633554084
18120,15117,sinnopsyy,keoz,adr,61,75,-1.2575404519100628,1.0584997275781927,-2.3160401794882555,-0.14068148726227397,-0.8460347164750995,0.39907628183379007,False,False,8345,0.028783802428256074
18120,15117,sinnopsyy,keoz,kd_log,61,75,-0.019207427600424463,0.017829619248628602,-0.03703704684905307,-0.08604984073628506,-0.5153839952745721,0.6071441562646961,False,False,10476,0.0361341059602649
15117,19763,keoz,boros,rating,21,139,-0.08728742699862753,0.014475280426970128,-0.10176270742559766,-0.4681751409872269,-1.9742863525775198,0.05898511979843187,False,False,3270,0.011278973509933775
15117,19763,keoz,boros,adr,21,139,-8.796231081670006,1.445988448032505,-10.242219529702512,-0.4297763616052635,-1.8745260352208355,0.07179474810978441,False,False,3563,0.012289597130242826
15117,19763,keoz,boros,kd_log,21,139,-0.11269300271071528,0.01670052458664497,-0.12939352729736026,-0.27561011793788187,-1.3813296024523933,0.1773195359214667,False,False,5421,0.018698261589403974
19763,15117,boros,keoz,rating,21,115,-0.024876530199551907,0.004540441976559345,-0.02941697217611125,-0.1909090429676174,-0.9862074107862434,0.3308459752617078,False,False,7531,0.02597613134657837
19763,15117,boros,keoz,adr,21,115,-4.5232883454068755,0.849274497873,-5.3725628432798755,-0.3278439737690159,-1.8145143109591404,0.07737963696001064,False,False,3713,0.012806981236203092
19763,15117,boros,keoz,kd_log,21,115,0.005818401872440585,0.0003772340930434857,0.005441167779397099,0.012630110653756816,0.06702808647731542,0.946928863524741,False,False,13950,0.048116721854304635
15117,22904,keoz,burmylov,rating,41,234,0.10986233981503547,-0.017788250156403767,0.12765058997143924,0.7302837709712008,3.9272918460904087,0.00025745646913034946,True,True,394,0.0013589955849889626
15117,22904,keoz,burmylov,adr,41,234,11.180217556732082,-1.806274390674246,12.986491947406329,0.700683805593731,3.7875776606461615,0.0003994874674825056,True,True,457,0.0015762969094922738
15117,22904,keoz,burmylov,kd_log,41,234,0.19135407891115555,-0.030008618763984286,0.22136269767513983,0.4755471128777451,2.766040933580448,0.007739688071675074,True,False,1370,0.004725441501103753
22904,15117,burmylov,keoz,rating,41,95,0.05649573105133292,-0.02438506610516753,0.08088079715650046,0.5396861600831702,2.638926981826601,0.010473655850361096,True,False,1544,0.0053256070640176605
22904,15117,burmylov,keoz,adr,41,95,6.995241795213743,-2.990814753704346,9.98605654891809,0.6302341851929703,3.0406785435143218,0.0034703868680731023,True,False,983,0.0033905905077262696
22904,15117,burmylov,keoz,kd_log,41,95,0.14303032569890145,-0.05998605256456534,0.2030163782634668,0.4828368271821118,2.3149672582728567,0.024020419780599364,True,False,2256,0.007781456953642384
15165,17803,blamef,fear,rating,213,197,-0.03280841180279544,0.03450447629592266,-0.0673128880987181,-0.4187064235889859,-4.236169760471933,2.8162707748716474e-05,True,True,235,0.0008105684326710817
15165,17803,blamef,fear,adr,213,197,-3.8382854359307697,4.050056358894716,-7.888341794825486,-0.4593999631050131,-4.639849321908848,4.724582571563876e-06,True,True,150,0.0005173841059602649
15165,17803,blamef,fear,kd_log,213,197,-0.09808455472184849,0.10584069621854456,-0.20392525094039304,-0.448904362470747,-4.541454201597788,7.377385033562908e-06,True,True,162,0.0005587748344370861
17803,15165,fear,blamef,rating,213,102,0.016478189799416613,-0.0361044041732196,0.05258259397263621,0.28585199246024884,2.447306783242605,0.015193443189275525,True,False,1828,0.006305187637969095
17803,15165,fear,blamef,adr,213,102,1.9114615887795394,-4.187461462763118,6.098923051542657,0.31393665605202997,2.6854141777985236,0.007809393733009748,True,False,1373,0.004735789183222958
17803,15165,fear,blamef,kd_log,213,102,0.030166825232381473,-0.06424634885749934,0.09441317408988081,0.20336044587324767,1.631484326369735,0.10451100432451106,False,False,4224,0.01456953642384106
15165,18571,blamef,cypher,rating,62,249,-0.01753871139422523,0.0050429034933088535,-0.022581614887534084,-0.12094716183336127,-0.8442349241583423,0.4007120713671405,False,False,8363,0.028845888520971304
15165,18571,blamef,cypher,adr,62,249,-1.0822170158859306,0.33067353677211214,-1.4128905526580426,-0.07107078714799125,-0.494925621369276,0.6218272005569689,False,False,10678,0.03683084988962473
15165,18571,blamef,cypher,kd_log,62,249,-0.04603953260871186,0.01129826478369228,-0.05733779739240414,-0.12641055002972015,-0.9004184376646459,0.37017435586150793,False,False,8004,0.027607615894039733
